,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Heating Power LIN [W],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Heater Voltage [V],Heater Current [A],Ambient Temperature [캜],Coolant Temperature Heatercore [캜],Requested Coolant Temperature [캜],Coolant Temperature Inlet [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,574.0,0.0,0.0,-0.03,0.0,391.4,-2.2,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.5,24.5
1,0.1,0.0,574.0,0.0,0.0,0.0,0.0,391.4,-2.21,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.5,24.5
2,0.2,0.0,574.0,0.0,0.0,-0.01,0.0,391.4,-2.26,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.5,24.5
3,0.3,0.0,574.0,0.0,0.0,-0.03,0.0,391.4,-2.3,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.5,24.5
4,0.4,0.0,574.0,0.0,0.0,-0.03,0.0,391.4,-2.3,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.5,24.5
5,0.5,0.0,574.0,0.0,0.0,-0.01,0.0,391.4,-2.3,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.5,24.5
6,0.6,0.0,574.0,0.0,0.0,-0.01,0.0,391.4,-2.3,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.45,24.5
7,0.7,0.0,574.0,0.0,0.0,-0.03,0.0,391.4,-2.31,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.4,24.5
8,0.8,0.0,574.0,0.0,0.38,-0.01,0.0,391.4,-2.36,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.35,24.5
9,0.9,0.0,574.0,0.0,0.12,-0.01,0.0,391.4,-2.37,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.3,24.5
10,1.0,0.0,574.0,0.0,0.38,0.01,0.0,391.4,-2.27,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.25,24.5
11,1.1,0.0,574.0,0.0,0.0,-0.02,0.0,391.4,-2.21,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.2,24.5
12,1.2,0.0,574.0,0.0,0.0,-0.03,0.0,391.4,-2.26,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.15,24.5
13,1.3,0.0,574.0,0.0,0.0,-0.01,0.0,391.4,-2.33,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.1,24.5
14,1.4,0.0,574.0,0.0,0.0,0.02,0.0,391.4,-2.43,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.05,24.5
15,1.5,0.0,574.0,0.0,0.0,0.0,0.0,391.39,-2.54,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.0,24.5
16,1.6,0.0,574.0,0.0,0.0,-0.03,0.0,391.34,-2.69,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.0,24.5
17,1.7,0.0,574.0,0.0,0.0,-0.01,0.0,391.3,-2.83,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.0,24.5
18,1.8,0.0,574.0,0.0,0.23,-0.03,0.0,391.3,-2.93,21.0,22.0,86.9,100.0,8,90,0.0,0,85,0.4,1,0,0,25.5,0,0,0,30.0,24.5
